Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other,
334699,Medical treatment,2021,February,Thursday,21,Rear-end,Multi-Vehicle,153.021566,-27.38517844,Hamilton Rd,Webster Rd,,Chermside West,Brisbane City,4032,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside West,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,Intersection - Roundabout,Give way sign,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,N,0,0,1,0,1,1,0,0,0,0,0,1
334700,Minor injury,2021,February,Saturday,13,Rear-end,Multi-Vehicle,153.0327708,-27.38605234,Hamilton Rd,,,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,E,0,0,0,1,1,4,0,0,0,0,0,0
334701,Hospitalisation,2021,February,Sunday,0,Rear-end,Multi-Vehicle,153.016662,-27.35628644,Gympie Rd,Zillmere Rd,Gympie Arterial Road,Aspley,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Aspley,Chermside,Brisbane - North,Major Cities,Aspley,Petrie,State-controlled,Intersection - T-Junction,Operating traffic lights,70 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,N,0,1,0,0,1,2,0,0,0,0,0,0
334702,Hospitalisation,2021,February,Monday,6,Angle,Multi-Vehicle,153.0610983,-27.37433116,Pritchard Rd,,,Virginia,Brisbane City,4014,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Northgate - Virginia,Nundah,Brisbane - North,Major Cities,Nudgee,Lilley,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,408,Veh'S Manoeuvring: Entering From Footway,Vehicle leaving driveway,W,0,1,0,0,1,1,1,0,0,0,0,0
334703,Minor injury,2021,February,Monday,15,Rear-end,Multi-Vehicle,153.034672,-27.38645845,Hamilton Rd,Kittyhawk Dr,,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,E,0,0,0,1,1,2,0,0,0,0,0,0
334704,Minor injury,2021,February,Wednesday,8,Rear-end,Multi-Vehicle,153.015745,-27.36392544,Albany Creek Rd,Maundrell Tce,Albany Creek Sub-Arterial Road,Aspley,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Aspley,Chermside,Brisbane - North,Major Cities,Aspley,Petrie,State-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,302,Veh'S Same Direction: Left Rear,Rear-end,N,0,0,0,1,1,2,0,0,0,0,0,0
334705,Medical treatment,2021,February,Thursday,7,Rear-end,Multi-Vehicle,153.0127891,-27.34626744,Beams Rd,Gympie Rd,Gympie Arterial Road,Carseldine,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Carseldine,Bald Hills - Everton Park,Brisbane - North,Major Cities,Aspley,Petrie,State-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Crest,302,Veh'S Same Direction: Left Rear,Rear-end,S,0,0,1,1,2,2,0,0,0,0,0,0
334706,Minor injury,2021,February,Friday,15,Rear-end,Multi-Vehicle,153.0170674,-27.36312146,Gympie Rd,,Gympie Arterial Road,Aspley,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Aspley,Chermside,Brisbane - North,Major Cities,Aspley,Petrie,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,N,0,0,0,1,1,2,0,0,0,0,0,0
334707,Medical treatment,2021,February,Friday,16,Rear-end,Multi-Vehicle,153.03951,-27.36722845,Robinson Rd W,,,Geebung,Brisbane City,4034,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Geebung,Chermside,Brisbane - North,Major Cities,Aspley,Lilley,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Wet,Raining,Daylight,Straight,Grade,301,Veh'S Same Direction: Rear End,Rear-end,W,0,0,1,0,1,2,0,0,0,0,0,0
334708,Medical treatment,2021,March,Tuesday,9,Hit object,Single Vehicle,153.03884,-27.34997645,Beams Rd,,,Taigum,Brisbane City,4018,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Taigum - Fitzgibbon,Sandgate,Brisbane - North,Major Cities,Sandgate,Lilley,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,703,Off Path-Straight: Left Off Cway Hit Obj,Off carriageway on straight hit object,E,0,0,1,0,1,1,0,0,0,0,0,0
334709,Hospitalisation,2021,March,Thursday,21,Angle,Multi-Vehicle,153.031011,-27.38591844,Gympie Rd,Hamilton Rd,Gympie Arterial Road,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,104,Veh'S Adjacent Approach: Thru-Right,Intersection from adjacent approaches,S,0,1,0,3,4,2,0,0,0,0,0,0
334710,Hospitalisation,2021,March,Tuesday,8,Angle,Multi-Vehicle,153.049709,-27.35929145,Beckman St,Lovegrove St,,Zillmere,Brisbane City,4034,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Zillmere,Sandgate,Brisbane - North,Major Cities,Nudgee,Lilley,Locally-controlled,Intersection - Cross,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,S,0,2,0,1,3,2,0,0,0,0,0,0
334711,Medical treatment,2021,March,Tuesday,14,Fall from vehicle,Single Vehicle,153.030358,-27.38457144,Bouchard St,Gympie Rd,Gympie Arterial Road,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,State-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,901,Pass & Misc: Fell In/From Vehicle,Other,W,0,0,0,0,0,0,0,0,1,0,0,0
334712,Hospitalisation,2021,March,Monday,18,Rear-end,Multi-Vehicle,153.034248,-27.39384745,Rode Rd,,,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Darkness - Lighted,Straight,Crest,301,Veh'S Same Direction: Rear End,Rear-end,W,0,1,0,0,1,2,0,0,0,0,0,0
334713,Minor injury,2021,March,Monday,18,Rear-end,Multi-Vehicle,153.0122261,-27.34559644,Beams Rd,Gympie Rd,Gympie Arterial Road,Carseldine,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Carseldine,Bald Hills - Everton Park,Brisbane - North,Major Cities,Aspley,Petrie,State-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Wet,Raining,Darkness - Lighted,Straight,Crest,302,Veh'S Same Direction: Left Rear,Rear-end,E,0,0,0,1,1,2,0,0,0,0,0,0
334714,Hospitalisation,2021,March,Tuesday,14,Hit object,Single Vehicle,153.086016,-27.35636545,Gateway Arterial Rd,,Gateway Arterial Road (Gateway Motorway - North),Boondall,Brisbane City,4034,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Boondall,Nundah,Brisbane - North,Major Cities,Nudgee,Lilley,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Clear,Daylight,Curved - view open,Level,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,N,0,1,0,0,1,1,0,0,0,0,0,0
334715,Medical treatment,2021,March,Thursday,7,Hit object,Single Vehicle,153.029784,-27.38186244,Banfield St,Gympie Rd,Gympie Arterial Road,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,State-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Wet,Clear,Daylight,Straight,Grade,703,Off Path-Straight: Left Off Cway Hit Obj,Off carriageway on straight hit object,N,0,0,1,0,1,1,0,0,0,0,0,0
334716,Medical treatment,2021,March,Thursday,8,Rear-end,Multi-Vehicle,153.012943,-27.36330244,Albany Creek Rd,,Albany Creek Sub-Arterial Road,Aspley,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Aspley,Chermside,Brisbane - North,Major Cities,Aspley,Petrie,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,E,0,0,1,0,1,2,0,0,0,0,0,0
334717,Hospitalisation,2021,March,Friday,8,Angle,Multi-Vehicle,153.035434,-27.37394745,Ellison Rd,Murphy Rd,,Geebung,Brisbane City,4034,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Aspley,Chermside,Brisbane - North,Major Cities,Aspley,Lilley,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Level,408,Veh'S Manoeuvring: Entering From Footway,Vehicle leaving driveway,S,0,1,0,0,1,1,0,0,0,1,0,0
334718,Medical treatment,2021,March,Friday,21,Sideswipe,Multi-Vehicle,153.031011,-27.38591844,Gympie Rd,Hamilton Rd,Gympie Arterial Road,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Wet,Raining,Darkness - Lighted,Curved - view open,Level,305,Veh'S Same Direction: Lane Side Swipe,Lane changes,N,0,0,1,0,1,2,0,0,0,0,0,0
334719,Medical treatment,2021,March,Monday,15,Angle,Multi-Vehicle,153.050102,-27.34234645,Highgate St,Roghan Rd,,Taigum,Brisbane City,4018,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Taigum - Fitzgibbon,Sandgate,Brisbane - North,Major Cities,Sandgate,Lilley,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,308,Veh'S Same Direction: Right Turn S/Swipe,Parallel lanes turning,E,0,0,1,0,1,2,0,0,0,0,0,0
334720,Minor injury,2021,March,Monday,15,Rear-end,Multi-Vehicle,153.0757467,-27.34122572,Gateway Arterial Rd,,Gateway Arterial Road (Gateway Motorway - North),Boondall,Brisbane City,4034,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Boondall,Nundah,Brisbane - North,Major Cities,Nudgee,Lilley,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,301,Veh'S Same Direction: Rear End,Rear-end,N,0,0,0,2,2,2,0,0,0,0,0,0
334721,Hospitalisation,2021,March,Tuesday,18,Rear-end,Multi-Vehicle,153.029949,-27.38230644,Gympie Rd,,Gympie Arterial Road,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Grade,301,Veh'S Same Direction: Rear End,Rear-end,N,0,1,0,0,1,2,1,0,0,0,0,0
334722,Medical treatment,2021,March,Wednesday,9,Angle,Multi-Vehicle,153.02259,-27.38036944,Milburn St,Webster Rd,,Chermside West,Brisbane City,4032,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside West,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,107,Veh'S Adjacent Approach: Thru-Left,Intersection from adjacent approaches,N,0,0,1,0,1,2,0,0,0,0,0,0
334723,Hospitalisation,2021,April,Tuesday,11,Rear-end,Multi-Vehicle,153.035157,-27.39404045,Rode Rd,Sydney St,,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Kedron - Gordon Park,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight,Straight,Grade,303,Veh'S Same Direction: Right Rear,Rear-end,E,0,1,0,1,2,2,0,0,0,0,0,0
334724,Medical treatment,2021,April,Tuesday,14,Sideswipe,Multi-Vehicle,153.030631,-27.38518944,Gympie Rd,,Gympie Arterial Road,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,305,Veh'S Same Direction: Lane Side Swipe,Lane changes,N,0,0,1,0,1,4,0,0,0,0,0,0
334725,Minor injury,2021,April,Tuesday,18,Rear-end,Multi-Vehicle,153.031005,-27.38589244,Gympie Rd,Hamilton Rd,Gympie Arterial Road,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Wet,Raining,Darkness - Lighted,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,S,0,0,0,1,1,2,0,0,0,0,0,0
334726,Medical treatment,2021,April,Friday,15,Rear-end,Multi-Vehicle,153.051393,-27.35880845,Ewing St,Muller Rd,,Boondall,Brisbane City,4034,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Boondall,Nundah,Brisbane - North,Major Cities,Nudgee,Lilley,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,303,Veh'S Same Direction: Right Rear,Rear-end,S,0,0,1,0,1,2,0,0,0,0,0,0
334727,Minor injury,2021,April,Saturday,17,Angle,Multi-Vehicle,153.035609,-27.40227645,Colac St,Edinburgh Castle Rd,,Kedron,Brisbane City,4031,Hendra,North Brisbane,Brisbane,SEQ North,Metropolitan,Kedron - Gordon Park,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,Intersection - Roundabout,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Dip,101,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,E,0,0,0,1,1,1,1,0,0,0,0,0
334728,Medical treatment,2021,April,Monday,14,Rear-end,Multi-Vehicle,153.0267826,-27.3927636,Rode Rd,,,Chermside,Brisbane City,4032,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,301,Veh'S Same Direction: Rear End,Rear-end,W,0,0,1,0,1,3,0,0,0,0,0,0
334729,Medical treatment,2021,April,Monday,17,Rear-end,Multi-Vehicle,153.023414,-27.37592744,Pie St,Webster Rd,,Aspley,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside West,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Dip,301,Veh'S Same Direction: Rear End,Rear-end,S,0,0,1,0,1,2,0,0,0,0,0,0
334730,Hospitalisation,2021,April,Thursday,16,Hit object,Single Vehicle,153.032346,-27.34531689,Orchid Cres,,,Fitzgibbon,Brisbane City,4018,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Taigum - Fitzgibbon,Sandgate,Brisbane - North,Major Cities,Sandgate,Petrie,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,S,0,2,0,0,2,1,0,0,0,0,0,0
334731,Medical treatment,2021,April,Friday,16,Rear-end,Multi-Vehicle,153.021914,-27.38455144,Hamilton Rd,Webster Rd,,Chermside,Brisbane City,4032,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,Intersection - Roundabout,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,N,0,0,1,0,1,2,0,0,0,0,0,0
334732,Medical treatment,2021,April,Friday,11,Rear-end,Multi-Vehicle,153.0135541,-27.34948544,Gympie Rd,Hawbridge St,Gympie Arterial Road,Carseldine,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Carseldine,Bald Hills - Everton Park,Brisbane - North,Major Cities,Aspley,Petrie,State-controlled,Intersection - T-Junction,No traffic control,70 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,N,0,0,1,0,1,2,0,0,0,0,0,0
334733,Hospitalisation,2021,April,Monday,1,Hit object,Single Vehicle,153.0223561,-27.33817344,Dorville Rd,Roghan Rd,,Carseldine,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Carseldine,Bald Hills - Everton Park,Brisbane - North,Major Cities,Aspley,Petrie,Locally-controlled,Intersection - T-Junction,No traffic control,0 - 50 km/h,Sealed - Wet,Clear,Darkness - Not lighted,Curved - view open,Level,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,E,0,2,1,0,3,1,0,0,0,0,0,0
334734,Medical treatment,2021,April,Tuesday,11,Sideswipe,Multi-Vehicle,153.062744,-27.37816645,Sandgate Rd,,Sandgate Sub-Arterial Road,Virginia,Brisbane City,4014,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Northgate - Virginia,Nundah,Brisbane - North,Major Cities,Nudgee,Lilley,State-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,307,Veh'S Same Direction: Lane Change Left,Lane changes,N,0,0,1,0,1,2,0,0,0,0,0,0
334735,Medical treatment,2021,April,Wednesday,3,Hit parked vehicle,Single Vehicle,153.037163,-27.38642645,Ballantine St,,,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,601,Veh'S On Path: Parked,Hit parked vehicle,S,0,0,1,0,1,2,0,0,0,0,0,0
334736,Hospitalisation,2021,April,Wednesday,9,Rear-end,Multi-Vehicle,153.062444,-27.37253545,Sandgate Rd,,Sandgate Sub-Arterial Road,Virginia,Brisbane City,4014,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Northgate - Virginia,Nundah,Brisbane - North,Major Cities,Nudgee,Lilley,State-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,S,0,1,0,0,1,1,1,0,0,0,0,0
334737,Minor injury,2021,April,Wednesday,10,Hit pedestrian,Hit pedestrian,153.0170928,-27.36065851,Gympie Rd,,Gympie Arterial Road,Aspley,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Aspley,Chermside,Brisbane - North,Major Cities,Aspley,Petrie,State-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Level,0,Ped'N: Hit Other,Other,W,0,0,0,1,1,1,0,0,0,0,1,0
334738,Hospitalisation,2021,April,Thursday,13,Rear-end,Multi-Vehicle,153.0185699,-27.36971866,Gympie Rd,,Gympie Arterial Road,Aspley,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Aspley,Chermside,Brisbane - North,Major Cities,Aspley,Lilley,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,301,Veh'S Same Direction: Rear End,Rear-end,N,0,2,0,0,2,6,0,0,0,0,0,0
334739,Minor injury,2021,April,Thursday,16,Rear-end,Multi-Vehicle,153.028555,-27.38557044,Hamilton Rd,,,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,301,Veh'S Same Direction: Rear End,Rear-end,E,0,0,0,1,1,2,0,0,0,0,0,0
334740,Hospitalisation,2021,April,Monday,11,Angle,Multi-Vehicle,153.011424,-27.39112244,Appleby Rd,Rode Rd,,Chermside West,Brisbane City,4032,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside West,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,E,0,3,0,0,3,2,0,0,0,0,0,0
334741,Medical treatment,2021,April,Friday,15,Angle,Multi-Vehicle,153.060298,-27.37031345,Newtown St,Robinson Rd E,,Virginia,Brisbane City,4014,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Northgate - Virginia,Nundah,Brisbane - North,Major Cities,Nudgee,Lilley,Locally-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,406,Veh'S Manoeuvring: Leaving Driveway,Vehicle leaving driveway,S,0,0,1,1,2,2,0,0,0,0,0,0
334742,Medical treatment,2021,May,Saturday,11,Rear-end,Multi-Vehicle,153.024107,-27.38487044,Hamilton Rd,,,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,301,Veh'S Same Direction: Rear End,Rear-end,E,0,0,2,0,2,2,0,0,0,0,0,0
334743,Medical treatment,2021,May,Sunday,18,Hit object,Single Vehicle,153.0375337,-27.34210217,Desert Willow Way,,,Fitzgibbon,Brisbane City,4018,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Taigum - Fitzgibbon,Sandgate,Brisbane - North,Major Cities,Sandgate,Petrie,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,703,Off Path-Straight: Left Off Cway Hit Obj,Off carriageway on straight hit object,S,0,0,1,0,1,1,0,0,0,0,0,0
334744,Hospitalisation,2021,May,Monday,17,Fall from vehicle,Single Vehicle,153.0209401,-27.33048644,Telegraph Rd,,,Fitzgibbon,Brisbane City,4018,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Taigum - Fitzgibbon,Sandgate,Brisbane - North,Major Cities,Sandgate,Petrie,Locally-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Dry,Clear,Dawn/Dusk,Curved - view open,Level,805,Off Path-Curve: Out Of Control On Cway,Out of control on curve,E,0,1,0,0,1,0,1,0,0,0,0,0
334745,Minor injury,2021,May,Friday,20,Angle,Multi-Vehicle,153.017229,-27.36385844,Albany Creek Sub-Arterial Rd,Robinson Rd W,Gympie Arterial Road,Aspley,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Aspley,Chermside,Brisbane - North,Major Cities,Aspley,Petrie,State-controlled,Intersection - Cross,Operating traffic lights,70 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Grade,202,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,W,0,0,0,3,3,2,0,0,0,0,0,0
334746,Minor injury,2021,May,Saturday,13,Angle,Multi-Vehicle,153.026245,-27.39269444,Rode Rd,Sammells Dr,,Chermside,Brisbane City,4032,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,106,Veh'S Adjacent Approach: Left-Right,Intersection from adjacent approaches,E,0,0,0,1,1,2,0,0,0,0,0,0
334747,Medical treatment,2021,May,Monday,7,Sideswipe,Multi-Vehicle,153.0121841,-27.34468844,Gympie Rd,,Gympie Arterial Road,Carseldine,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Carseldine,Bald Hills - Everton Park,Brisbane - North,Major Cities,Aspley,Petrie,State-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,305,Veh'S Same Direction: Lane Side Swipe,Lane changes,S,0,0,1,0,1,0,1,0,0,0,0,1
334748,Hospitalisation,2021,May,Monday,10,Rear-end,Multi-Vehicle,153.018295,-27.36919344,Darwin St,Gympie Rd,Gympie Arterial Road,Aspley,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Aspley,Chermside,Brisbane - North,Major Cities,Aspley,Lilley,State-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,S,0,1,0,0,1,2,0,0,0,0,0,0
